SalePrice,LotArea,YearBuilt,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,zipCode
162500,11120,1984,1232,2,0,3,6,2,50034
412500,13688,2003,2668,2,1,3,10,3,50026
103200,5500,1956,882,1,0,1,4,0,50027
152000,5400,1926,1616,2,0,3,5,1,50027
127500,10106,1940,1355,2,0,4,6,0,50017
190000,10708,1955,1867,1,0,2,7,1,50014
183500,8244,2004,1720,2,1,3,7,2,50018
228000,16669,1981,1707,2,1,2,6,2,50033
128500,12358,1941,1382,1,1,2,7,2,50027
215000,31770,1960,1656,1,0,3,7,2,50022
239000,5306,1987,1767,2,0,2,5,2,50032
163000,10197,1961,1362,1,1,3,6,2,50022
184000,12416,1986,1651,2,0,3,7,2,50033
243000,12615,1950,2158,2,0,4,7,2,50017
211000,10029,1988,2060,2,1,4,8,2,50014
172500,13650,1958,1920,2,0,4,8,2,50029
100000,8520,1923,968,1,0,2,5,2,50027
177000,2117,2000,1525,2,1,3,5,2,50031
200100,7588,1920,1802,1,1,4,9,1,50016
120000,9060,1957,1340,1,0,3,7,1,50017
200000,11426,2003,2082,2,1,3,6,2,50027
127000,7438,1908,1252,1,0,3,5,2,50013
475000,22950,1892,3608,2,1,4,12,3,50027
173000,9947,1990,1217,2,0,3,6,2,50021
135000,10410,1916,1656,2,1,3,8,1,50027
286000,4923,2001,1593,1,1,0,5,2,50032
315000,10570,1932,2727,2,1,3,10,2,50016
184000,7472,1972,1479,1,1,4,7,2,50022
192000,9017,1999,1431,2,0,3,6,2,50015
130000,2522,2004,1709,2,0,3,7,2,50017
127000,7180,1972,864,1,0,3,5,1,50015
148500,2280,1976,1456,2,1,3,7,2,50023
274900,9591,2004,1713,2,0,3,7,3,50026
140000,8546,2003,1121,2,0,2,5,2,50017
171500,10125,1977,1279,2,0,3,6,2,50021
112000,7000,1924,1310,2,0,2,6,1,50027
149000,4438,2004,848,1,0,1,3,2,50015
110000,3500,1947,1284,1,1,2,5,1,50027
180500,11851,1990,1442,2,0,3,5,2,50018
143900,13673,1962,1696,1,1,3,8,1,50029
141000,12493,1960,1100,1,0,3,6,1,50022
277000,14364,1988,2062,2,1,3,7,2,50030
145000,8250,1964,1092,1,0,3,6,2,50022
98000,5604,1925,864,1,0,2,5,0,50017
186000,10420,2009,1212,2,0,3,6,2,50017
156000,13568,1995,990,1,0,3,5,2,50015
161750,10900,1977,1392,1,1,3,6,1,50015
134450,10011,1957,1236,1,0,2,6,1,50022
210000,8450,2004,1436,2,0,3,8,2,50015
311500,15660,1939,1954,1,1,3,8,2,50016
200000,8068,2002,2267,2,1,4,8,2,50018
179900,11475,1975,1552,2,1,3,6,2,50024
386250,13472,2003,2392,2,0,3,8,3,50026
106000,1869,1970,987,1,1,2,5,1,50012
125000,8521,1967,912,1,0,3,5,1,50029
192500,3182,2005,1555,2,0,2,7,2,50010
148000,8760,1959,1194,1,0,3,6,1,50022
403000,15138,1995,2794,2,1,4,9,3,50025
94500,1680,1972,987,1,1,2,5,1,50012
128200,10650,1976,894,1,0,3,5,1,50015
216500,7851,2002,1960,2,1,4,8,2,50018
89500,1680,1971,987,1,1,2,5,1,50012
185500,8773,2004,1414,2,0,3,6,2,50015
194500,9453,1993,1744,2,1,3,7,2,50030
113000,8741,1945,1487,1,1,3,7,1,50017
262500,9000,2008,1566,2,0,3,7,2,50031
110500,3880,1945,866,1,0,2,4,0,50027
79000,5000,1900,1440,1,0,3,6,1,50027
120000,10762,1980,1217,1,1,3,6,1,50030
205000,8880,1994,2110,2,1,3,8,2,50030
241500,10400,1988,1872,2,0,3,6,2,50024
137000,9142,1910,1928,2,0,4,9,1,50027
140000,11310,1954,1375,1,0,2,5,2,50022
180000,11317,2003,1668,2,1,3,8,2,50015
277000,159000,1958,2144,2,0,4,7,2,50014
76500,5350,1940,1306,1,0,3,6,0,50013
173000,8366,2004,1640,2,1,3,6,2,50030
158000,9350,1964,1302,2,0,3,7,1,50022
145000,8400,1957,1314,1,0,3,5,1,50022
230000,8738,1999,2291,2,1,4,8,2,50018
207500,8791,2003,1728,2,1,3,7,2,50031
231500,12435,2001,1792,2,1,3,7,2,50015
97000,12702,1956,882,1,0,2,4,1,50027
176000,19296,1962,1382,1,0,3,6,2,50022
151000,8471,1977,1212,1,0,3,6,2,50029
130000,5500,1929,1316,1,0,3,6,2,50027
73000,5232,1925,764,1,0,2,4,2,50027
175500,12090,1981,1422,2,0,3,7,2,50024
185000,11207,1997,1511,2,1,3,8,2,50018
179500,8400,1939,2192,2,1,4,8,1,50028
120500,6900,1940,778,1,0,2,4,1,50019
148000,7917,1976,1113,1,1,3,6,1,50017
241500,39104,1954,1363,1,0,2,5,2,50014
290000,11764,1999,2270,2,1,4,9,3,50025
139000,9600,1958,1632,2,0,3,6,1,50022
124500,8314,1982,816,1,0,2,5,1,50021
205000,7264,1925,1548,2,1,3,5,2,50013
201000,9196,2003,1560,2,0,3,7,2,50021
141000,19138,1951,864,1,0,2,4,2,50018
192000,10005,1977,2022,2,1,4,8,2,50014
228500,11287,1989,1982,2,1,3,7,2,50030
207500,5063,2007,1314,2,0,2,6,2,50026
179200,8012,1992,1575,2,0,2,5,2,50030
159000,9786,1962,1734,1,1,3,7,2,50022
88000,8125,1971,858,1,0,3,5,0,50022
122000,9819,1967,900,1,0,3,5,1,50029
153575,8730,1915,1396,1,0,3,7,1,50013
135900,5687,1912,1716,2,0,6,9,0,50028
131000,11409,1949,1716,1,1,3,8,1,50017
235000,16659,1977,2263,2,1,3,9,2,50024
167000,9600,1953,1644,1,0,3,7,2,50022
142500,7937,1984,1003,1,0,3,6,2,50021
152000,13710,1950,1558,1,1,4,6,1,50019
239000,7399,1997,1950,2,1,3,7,2,50031
175000,11700,1968,1743,1,2,3,7,2,50024
157000,15750,1953,1336,1,0,2,5,1,50016
267000,16226,1998,2452,2,1,4,9,2,50015
205000,13704,2001,1541,2,0,3,6,3,50015
295000,18386,1880,3493,3,0,3,10,3,50027
305900,10386,2004,2000,2,0,3,8,3,50015
225000,13474,1990,2243,2,1,4,8,3,50030
89500,7920,1920,1406,1,0,3,6,0,50019
82500,12342,1940,861,1,0,1,4,2,50017
360000,12378,2003,1944,2,0,3,8,3,50026
165600,7685,1993,1501,2,1,3,6,2,50018
132000,8000,1948,972,1,0,2,5,1,50022
119900,7800,1939,1118,1,0,3,5,2,50027
375000,215245,1965,2036,2,0,3,8,2,50033
178000,9600,1925,1641,1,1,3,6,2,50027
188500,7795,2004,1432,2,1,3,6,2,50018
260000,13005,1980,2353,2,1,4,10,2,50024
270000,9000,2006,1959,2,1,3,8,3,50031
260000,9900,1993,2646,2,1,4,9,3,50025
187500,14115,1980,1472,2,0,3,6,2,50024
354000,12099,2004,2468,2,1,4,10,3,50026
301000,10380,1986,2730,2,1,4,8,2,50030
126175,5820,1955,1163,1,0,3,6,1,50027
242000,11275,1967,2978,2,1,5,11,2,50022
87000,5000,1941,803,1,0,2,5,2,50019
324000,10846,1993,1719,1,1,1,6,2,50034
145250,11600,1960,1383,1,1,3,7,1,50022
214500,11888,1916,2134,2,0,5,10,2,50013
78000,6402,1920,1192,1,0,3,6,1,50019
119000,10624,1964,1728,2,0,6,10,1,50022
139000,8176,1958,1056,1,0,3,6,1,50022
284000,10655,2003,1629,2,0,3,7,3,50026
207000,8198,2004,1358,2,0,2,6,2,50026
192000,9042,1998,1638,2,1,3,7,2,50018
228950,164660,1965,1786,2,0,3,7,2,50033
377426,14157,2005,1922,2,0,3,8,3,50032
214000,9135,2002,1536,2,0,3,7,2,50015
202500,14145,1984,1621,2,0,3,8,2,50024
155000,12400,1958,1215,1,0,3,6,1,50022
202900,14191,2002,1908,2,1,4,9,2,50033
82000,8400,1950,841,1,0,2,4,1,50030
87500,8544,1949,1040,2,0,2,6,2,50022
266000,8849,2005,1684,2,0,2,6,2,50026
85000,2592,1976,1112,1,1,3,4,1,50020
140200,6435,1939,1577,1,0,3,6,1,50013
151500,12772,1960,958,1,0,2,5,1,50022
157500,17600,1960,1478,2,0,3,6,2,50022
154000,2448,2003,1626,2,1,2,6,2,50026
95000,9084,1941,1111,1,0,3,5,1,50017
105900,8520,1928,720,1,0,2,5,2,50027
140000,8400,1940,1595,1,0,2,6,1,50028
177500,11249,1995,1200,2,0,3,6,2,50015
173000,9248,1992,1167,2,0,3,6,2,50018
134000,4224,1976,1142,1,1,3,6,2,50020
280000,12011,1998,1924,2,1,3,7,2,50025
156000,7540,1978,912,1,0,2,5,2,50021
145000,9144,1940,1505,1,0,3,8,1,50013
198500,7301,2003,1922,3,0,4,7,2,50017
118000,1680,1972,987,1,1,2,5,1,50012
190000,18800,1976,1574,2,1,3,6,2,50024
147000,10690,1920,1344,1,0,3,6,1,50019
159000,9500,1963,1394,1,1,3,6,2,50022
165000,9150,1962,1431,1,0,3,6,1,50022
132000,7800,1954,1268,1,0,2,7,1,50022
162000,9830,1959,1287,1,0,3,7,2,50022
172400,8121,2000,1664,2,1,3,7,2,50018
134432,17120,1959,1588,2,0,4,7,2,50014
125000,7175,1984,752,1,0,2,4,1,50030
123000,10634,1953,1319,1,0,3,5,1,50022
219500,8200,2003,1928,2,1,4,8,2,50015
61000,10020,1922,904,0,1,1,4,0,50017
148000,8846,1996,914,1,0,2,5,2,50015
340000,11143,2004,2466,3,0,4,8,2,50031
179000,8123,2000,1800,2,1,3,7,2,50018
127000,5000,1924,1691,2,0,3,6,1,50028
213500,9245,2006,1797,2,1,3,8,2,50015
76000,9000,1928,784,1,0,2,5,2,50030
240000,53107,1992,1953,2,1,3,9,2,50014
192000,3182,2004,1269,2,0,2,6,2,50010
191000,9382,1999,1479,2,0,3,6,2,50015
119000,8405,1900,1367,1,0,4,7,1,50017
215000,12209,2001,1961,2,1,3,7,2,50021
106500,8339,1959,882,1,0,3,5,1,50022
109000,10134,1940,1034,1,0,2,5,1,50027
129000,9571,1956,1144,1,0,3,6,1,50017
123000,7200,1972,894,1,0,2,6,2,50015
169500,7590,1962,1812,2,0,4,8,1,50022
241000,8125,2006,1550,2,0,2,7,2,50031
245500,14963,1996,1288,1,1,1,4,2,50034
108000,10200,1940,672,1,0,2,4,1,50029
168000,10364,1995,1572,2,1,3,7,2,50018
150000,9991,1976,1620,2,0,3,8,2,50029
115000,10480,1936,1639,1,0,3,6,1,50028
177000,15576,1915,1680,2,0,4,8,1,50016
145000,34650,1955,1056,1,0,3,5,2,50018
115000,8960,1927,1028,1,0,2,5,2,50027
228000,11228,1993,2097,2,1,3,9,3,50030
149500,7844,1978,1400,1,1,3,6,2,50029
239000,22420,1918,2624,2,1,4,10,3,50016
142000,8450,1968,1056,1,0,3,6,1,50022
215000,16635,1977,1602,2,0,3,8,2,50024
113000,21750,1954,988,1,0,2,4,2,50021
315000,9200,1998,2630,2,1,4,8,3,50025
139000,9000,1956,1196,1,0,2,6,1,50022
135000,3378,1946,1389,1,1,3,6,1,50027
275000,12800,1989,1644,2,0,2,5,2,50030
109008,8593,1957,907,1,0,3,5,1,50022
175000,11457,1988,1412,2,0,3,6,2,50033
122500,1920,1971,1365,1,1,2,6,2,50012
181000,10839,1997,1604,2,1,3,7,2,50018
81000,1890,1972,630,1,0,1,3,0,50020
212000,10667,1996,1661,2,1,3,6,2,50015
116000,4400,1920,1118,1,0,2,6,2,50027
119000,6000,1926,904,1,0,2,4,1,50013
90350,4280,1913,694,1,0,2,4,1,50016
110000,12354,1920,1196,1,0,3,7,2,50017
555000,15431,2008,2402,2,0,2,10,3,50026
118000,12108,1955,1440,2,0,4,8,0,50017
162900,6240,1930,1573,2,0,3,8,2,50013
210000,8750,1994,1908,2,1,4,8,2,50015
127500,9855,1956,1689,1,0,3,7,2,50017
190000,16492,1966,1888,2,1,2,6,2,50022
199900,11214,1998,1886,2,1,4,10,2,50018
119500,8600,1937,1376,2,0,3,7,1,50019
120000,6000,1948,1183,1,1,2,6,1,50027
110000,5684,1930,813,1,0,2,5,1,50027
280000,70761,1975,1533,2,0,2,5,2,50014
204000,9303,1996,1756,2,1,3,7,2,50033
210000,9000,2008,1590,2,1,3,6,2,50031
175500,9600,1973,1242,1,1,3,6,2,50024
256000,53227,1954,1663,1,0,2,6,2,50014
161000,5100,1925,1666,1,0,3,7,1,50027
110000,7015,1950,1203,1,0,3,5,1,50013
155000,7200,1936,1135,1,0,3,6,2,50028
62383,8281,1965,864,1,0,3,5,1,50029
188700,11988,1934,1660,1,1,3,6,1,50016
124000,8430,1978,1040,2,0,3,5,0,50015
178740,3072,2004,1414,2,0,2,6,2,50010
167000,10628,1970,1277,1,0,2,5,2,50022
146500,9480,1942,1644,1,1,3,7,1,50022
250000,11428,2006,1634,2,0,3,7,3,50026
187000,9291,1993,1710,2,1,3,7,2,50030
212000,6820,1985,1502,1,1,1,4,2,50032
190000,11952,1977,1969,2,1,3,8,2,50024
148000,3675,2005,1072,1,0,2,5,2,50017
251000,5330,2000,1652,2,0,2,6,2,50032
132500,8480,1963,970,1,0,2,5,2,50029
208900,13125,1997,1493,2,0,3,7,2,50015
380000,13693,2006,2643,2,1,3,9,3,50026
297000,10637,2007,1718,2,0,3,7,3,50015
326000,16033,2004,1850,2,0,3,8,3,50026
374000,11846,2003,1792,2,0,2,6,3,50026
155000,2500,1915,1826,1,1,4,7,1,50027
164000,4500,1998,1216,2,0,2,5,2,50021
132500,7758,1962,999,1,0,3,6,1,50029
147000,9600,1950,1113,1,0,3,5,1,50022
156000,10289,1965,1073,1,1,3,6,2,50022
175000,12243,1971,1484,2,0,3,7,2,50024
160000,10800,1900,2414,2,0,3,10,2,50027
86000,1526,1970,630,1,0,1,3,1,50020
115000,2665,1976,1304,1,1,3,4,1,50020
133000,9490,1941,1578,1,0,3,5,1,50022
155000,7931,1960,1269,1,1,3,6,1,50022
91300,5784,1938,886,1,0,2,4,1,50027
430000,12692,1992,3228,3,0,4,10,2,50025
184000,9120,1925,1820,2,0,4,8,1,50013
130000,7800,1967,899,1,0,3,5,1,50029
120000,7535,1958,912,1,0,2,5,1,50022
113000,1890,1973,1218,1,1,3,7,1,50012
226700,9803,2005,1768,2,1,3,7,2,50031
140000,9170,1965,1214,1,0,2,6,2,50017
289000,15602,1959,1801,2,0,1,6,2,50016
147000,2308,1974,1322,2,1,3,6,2,50023
124500,7596,1952,1960,2,0,4,10,2,50027
215000,9554,1993,1911,2,1,3,8,2,50030
161000,9600,1928,1378,2,0,3,7,2,50027
124500,9600,1959,1041,1,0,3,6,1,50022
164900,14559,1951,1363,1,0,2,6,1,50022
129900,9100,1958,864,1,0,3,5,2,50022
134000,9187,1983,1080,1,1,3,5,2,50021
96500,10594,1926,789,1,0,2,5,1,50016
265000,10208,1996,2344,2,1,3,7,3,50025
211000,9531,1998,1796,2,1,3,7,2,50015
234000,10918,1926,2080,1,1,3,9,1,50016
106250,10800,1900,1294,2,0,3,7,0,50027
150000,11988,1957,1244,1,1,3,6,1,50022
159000,5000,1947,1664,2,0,3,7,2,50013
315750,11787,1996,2398,2,1,3,8,3,50025
176000,7500,2005,1266,2,0,3,6,2,50031
132000,13300,1956,928,1,0,2,4,1,50022
86000,9098,1920,605,1,0,2,5,0,50017
128000,6155,1920,1362,2,0,3,6,2,50013
107500,7200,1955,827,1,0,2,5,1,50022
39300,5000,1946,334,1,0,1,2,0,50013
178000,9056,2004,1414,2,1,3,6,2,50018
107500,7000,1910,1347,1,0,3,5,0,50017
188000,8924,1998,1724,2,1,3,8,2,50015
111250,12735,1972,864,1,0,3,5,2,50022
158000,11553,1968,1159,1,1,3,7,1,50029
272000,11423,2001,1601,2,0,3,6,2,50015
315000,14601,2006,1838,2,0,2,8,3,50033
248000,11000,2000,2285,2,1,4,8,3,50025
213250,10140,1998,1680,2,0,3,7,2,50024
133000,4058,1998,767,1,0,1,4,1,50022
229000,13837,1988,2183,2,1,4,9,3,50024
210000,8737,1923,1635,1,1,3,6,2,50013
129500,7244,1970,768,1,0,2,5,2,50021
125000,8235,1955,825,1,0,2,4,2,50027
263000,9375,2003,2094,2,1,4,8,2,50031
112500,6000,1957,928,1,0,3,5,1,50027
255500,11146,2006,1717,2,0,3,7,3,50026
108000,8777,1949,1126,2,0,2,5,2,50017
284000,10625,2003,2046,2,1,3,8,3,50026
113000,6380,1922,1048,1,0,2,5,1,50013
141000,14850,1957,1092,1,0,2,6,1,50022
108000,11040,1920,1336,1,1,3,7,1,50019
175000,21872,1996,1446,2,1,3,6,2,50018
234000,3196,2003,1557,2,0,2,7,2,50010
121500,11341,1957,1392,1,1,3,5,2,50029
170000,10010,1974,1389,1,0,2,6,2,50021
108000,13907,1940,996,1,0,3,6,0,50017
185000,21780,1918,1674,2,0,4,8,2,50017
268000,13346,1992,2295,2,1,4,9,2,50025
128000,6858,1915,1647,1,1,4,6,1,50028
325000,11198,2005,2504,2,1,4,11,3,50032
214000,10171,2004,1535,2,0,3,7,2,50026
316600,12327,1983,2132,1,1,1,5,2,50030
135960,7032,1979,943,1,0,2,4,2,50022
142600,13101,1965,1728,2,0,6,10,2,50022
170000,9967,2000,1430,2,1,3,8,2,50018
139000,10500,1971,1109,1,0,3,5,1,50022
145000,6292,1928,1477,2,0,3,6,1,50028
131500,12150,1954,1795,2,0,4,7,1,50027
181900,14585,1960,1429,1,0,3,7,2,50022
118500,11841,1990,816,1,0,3,5,0,50017
325000,13500,1893,2775,3,1,3,9,2,50027
133000,6120,1935,1573,1,0,3,6,1,50013
130000,10267,1918,838,1,0,2,5,1,50013
137000,8740,1982,860,1,0,2,4,2,50029
79500,9100,1930,935,1,0,2,4,1,50013
185900,8320,2004,1582,2,1,3,6,2,50015
451950,13478,2008,2296,2,1,3,10,3,50026
138000,6600,1982,816,1,0,2,4,2,50021
140000,4435,2003,848,1,0,1,4,2,50015
110000,7990,1975,924,1,0,3,5,1,50015
114504,3600,1910,1368,1,0,3,7,1,50027
217500,12984,1977,1647,2,0,3,7,2,50016
151000,1950,1980,1556,2,1,3,6,2,50011
275000,10927,2005,1904,2,1,3,8,2,50026
141000,9000,1937,1375,1,1,3,6,1,50019
151000,3182,2004,1200,2,1,2,4,2,50031
221000,12803,2002,1494,2,0,3,6,2,50015
205000,13600,1965,1986,2,1,3,7,2,50022
152000,12464,1996,1040,1,0,3,6,2,50015
225000,7800,1948,2008,3,0,3,8,1,50017
118500,7943,1961,1029,1,0,3,5,1,50029
313000,11050,2000,2153,2,1,3,8,3,50015
148000,10395,1978,1032,2,0,3,6,2,50024
261500,11885,2001,1872,2,1,3,7,2,50015
75500,1491,1972,630,1,0,1,3,0,50020
183200,7861,2002,1509,2,1,3,7,2,50018
105500,7227,1954,832,1,0,2,4,2,50022
305000,12244,2003,2262,2,1,4,10,3,50033
67000,8248,1914,864,1,0,2,5,0,50017
240000,10800,1974,2614,2,1,4,9,2,50024
135000,7064,1977,980,1,0,3,6,2,50029
168500,2117,2000,1512,2,1,2,4,2,50031
165150,10400,1972,1790,1,2,4,8,2,50024
160000,10000,1962,1116,1,1,3,5,2,50022
139900,12342,1960,1422,1,0,3,6,1,50022
153000,9600,1955,1520,1,0,3,7,1,50022
168500,9020,1964,1350,1,1,3,6,2,50022
209500,4590,2006,1554,2,0,2,6,2,50026
139400,9250,1954,1056,1,0,3,6,1,50022
144000,6979,1980,1056,0,0,0,4,2,50027
60000,6120,1936,800,1,0,1,4,0,50013
93000,6000,1954,1387,2,0,3,7,1,50027
85000,8777,1910,796,1,0,2,4,0,50017
274000,12677,2003,1518,1,1,1,6,2,50026
226000,7050,2001,1929,2,1,3,7,2,50031
345000,13860,1972,2704,2,1,4,9,2,50022
152000,10793,1969,1620,2,1,4,7,2,50024
143250,10530,1971,981,1,1,3,5,2,50022
98300,7200,1950,1048,1,0,3,7,2,50022
155000,10452,1953,1094,1,0,3,5,2,50017
155000,7700,1966,1839,1,1,4,7,2,50022
84500,1936,1970,630,1,0,1,3,0,50020
205950,8125,2007,1665,2,1,3,7,2,50031
108000,9084,1940,1510,1,0,4,7,1,50017
191000,8750,1996,1716,2,1,2,7,2,50015
135000,10320,1906,1469,1,0,3,7,1,50019
350000,10437,1995,2113,2,1,2,7,3,50025
145500,10007,1959,1053,1,1,3,5,1,50022
149000,7200,1931,1502,1,1,3,6,1,50016
167000,9937,1964,1486,1,0,3,7,2,50017
197900,12384,1976,1935,2,1,3,7,2,50024
402000,46589,1994,2448,2,1,4,8,3,50025
110000,13560,1968,1392,1,0,2,5,2,50022
137500,10012,1972,1181,2,0,3,6,2,50017
230500,11194,2000,1936,2,1,3,7,2,50018
193500,8125,1994,1679,2,0,3,7,2,50030
168000,14175,1956,1437,1,1,3,6,2,50029
137500,11600,1922,1180,1,0,2,5,1,50016
173500,8633,2005,1476,2,1,3,7,2,50015
103600,6629,1925,1369,2,0,3,6,1,50017
165000,11250,1977,1208,1,1,3,6,2,50034
257500,14442,1957,1839,2,0,3,7,2,50016
140000,9200,1965,1136,1,0,3,5,1,50022
148500,2289,1978,1441,2,1,3,7,2,50023
87000,9600,1900,1774,2,0,4,8,3,50027
109500,9022,1924,792,1,0,2,5,1,50027
128500,9945,1961,988,1,0,3,5,2,50029
143000,8012,1980,923,2,0,2,5,1,50030
173000,2887,1996,1291,1,0,2,6,2,50014
285000,11248,2002,1668,2,0,3,7,3,50015
